idMoTa,idPhanLoai,moTa_vi,moTa_en,ghiChu
1.0,123,"Chiều dài đầu và thân: 180-200 cm.
Chiều dài đuôi: 25-28 cm.
Hình thái: Loài nai có kích cỡ cơ thể rất lớn với da và lông màu nâu tối. Cặp sừng to khỏe, mỗi sừng có 3 nhánh và đế sừng có các rãnh sẻ rất sâu. Dưới đuôi là một mảng lông màu trắng, được dùng làm tiêu dẫn đường.
Tập tính: Chúng sống thành bầy đàn, ở vùng đồng cỏ và rừng rụng lá. Mỗi đàn thường gồm nhiều cá thể có kích cỡ khác nhau, tuy nhiên ở vùng rừng thường xanh thì chúng hay đi đơn lẻ. Hoạt động chủ yếu vào ban đêm, có thể hoạt động vào sáng sớm tinh mơ và chiều muộn ở những vùng ít chịu áp lực của nạn săn bắn.
Sinh cảnh: Tìm thấy ở rất nhiều sinh cảnh sống trên phạm vi cả nước.","Head and body length: 180-200 cm.
Tail length: 25-28 cm.
Morphology: A very large deer species with dark brown skin and fur. The antlers are large and strong, each with 3 tines, and the antler base has very deep grooves. Under the tail is a patch of white fur, used as a guiding signal.
Behavior: They live in herds in grasslands and deciduous forests. Each herd usually consists of many individuals of different sizes; however, in evergreen forests, they tend to be solitary. Primarily nocturnal, they may be active at dawn and late afternoon in areas with low hunting pressure.
Habitat: Found in a wide variety of habitats throughout the country.",
2.0,124,"Chiều dài đầu và thân: 1,2-1,5 m.
Chiều dài đuôi: 20-30 cm.
Hình thái: Vẻ bề ngoài của lợn rừng rất giống với lợn nhà, với chiếc đầu to, cổ ngắn và thân hình thon mảnh và nhanh nhẹn; tuy nhiên trên cơ thể được phủ bởi một lớp lông thô ráp màu đen nhạt, nâu nhạt hoặc vàng nhạt. Trên thân màu nâu của có một bờm lông cứng chạy dọc trên lưng.
Tập tính: Sống theo đàn lớn, với nhiều kích cỡ khác nhau. Thức ăn chủ yếu là thực vật, gồm rễ và củ; chúng thường cày xới nền rừng lên để tìm kiếm thức ăn.
Sinh cảnh: Tìm thấy ở nhiều kiểu sinh cảnh khác nhau, chúng phát triển rất tốt ở các vùng rừng đã bị tàn phá.","Head and body length: 1.2-1.5 m.
Tail length: 20-30 cm.
Morphology: The appearance of the wild boar is very similar to the domestic pig, with a large head, short neck, and a slender, agile body; however, the body is covered by a coat of coarse hair that is pale black, pale brown, or pale yellow. On the brown body, there is a mane of stiff bristles running along the back.
Behavior: Lives in large herds of various sizes. Their diet consists mainly of plants, including roots and tubers; they often plow up the forest floor to search for food.
Habitat: Found in many different types of habitats; they thrive in deforested/degraded forest areas.",
3.0,125,"Chiều dài đầu và thân: 45-55 cm.
Chiều dài đuôi: 23-29cm.
Hình thái: Là loài mèo nhỏ có màu nâu phớt vàng hoặc vàng thẫm, phần trên lưng và sườn có nhiều đốm màu tối. Bộ lông ngắn và mỏng. Có từ 4 đến 5 sọc màu nâu tối chạy từ đỉnh đầu xuống hai bên vai và sau đó tách ra thành các đốm trên phần còn lại của cơ thể và chân, tạo thành những hoa văn rất đẹp. Tỉ lệ chiều dài đuôi và chiều dài của đầu và thân cao hơn ở các loài mèo khác, trừ ở mèo gấm, trên đó cũng phân chia thành các khoanh màu khác nhau, khoanh chóp đuôi thường là khoanh màu đen. Nửa thân phía bụng màu trắng. Mõm có màu trắng, trong khi đó có hai sọc màu trắng khác chạy vắt ngang giữa hai mắt.
Tập tính: Hoạt động chủ yếu vào ban đêm, tuy vật chúng cũng có thể hoạt động cả ban ngày.
Sinh cảnh: Loài được tìm thấy ở nhiều kiểu rừng khác nhau, gồm cả rừng trồng và các khu vực ngoại ô các thành phố. Đây là loài có phân bố rộng và có thể gặp dễ dàng nhất trong số các loài mèo.","Head and body length: 45-55 cm.
Tail length: 23-29 cm.
Morphology: A small cat species with yellowish-brown or dark yellow fur; the upper back and flanks have many dark spots. The fur is short and thin. There are 4 to 5 dark brown stripes running from the crown down to the shoulders, which then break into spots on the rest of the body and legs, creating beautiful patterns. The ratio of tail length to head and body length is higher than in other cat species (except the Marbled Cat); the tail is also divided into differently colored rings, with the tip usually being black. The ventral side is white. The muzzle is white, and there are two other white stripes running across between the eyes.
Behavior: Primarily nocturnal, although they can also be active during the day.
Habitat: Found in many different forest types, including plantations and suburban areas. This is a widely distributed species and the most easily encountered among wild cats.",
4.0,126,"Chiều dài đầu và thân: 72-78 cm.
Chiều dài đuôi: 25-29cm.
Hình thái: Loài mèo này có cơ thể chắc nịch và khỏe khoắn, chân ngắn và đuôi tương đối ngắn. Bộ lông có màu xám xanh ô-liu, trên đó có nhiều hàng đốm màu đen hoặc nâu tối. Đuôi rất ngắn so với chiều dài của đầu và thân, được phân thành những khoanh có màu khác nhau, khoanh chóp đuôi thường là khoanh màu đen.
Tập tính: Hoạt động chủ yếu vào ban đêm, tuy vậy chúng cũng có thể hoạt động cả ban ngày. Thức ăn của chúng chủ yếu là cá.
Sinh cảnh: Loài này có liên quan mật thiết với các vùng đất ngập nước, đặc biệt là các vùng đầm lầy và rừng ngập mặn. Tuy nhiên cũng có thể tìm thấy ở những vùng có cây cối thấp và rậm rạp gần rìa các thuỷ vực dưới chân núi và vùng rừng hỗn giao rụng lá.","Head and body length: 72-78 cm.
Tail length: 25-29 cm.
Morphology: This cat species has a stocky and muscular body, short legs, and a relatively short tail. The fur is olive-grey, with multiple rows of black or dark brown spots. The tail is very short compared to the head and body length, marked with rings of different colors; the tip is usually black.
Behavior: Primarily nocturnal, though they can also be active during the day. Their diet consists mainly of fish.
Habitat: This species is closely associated with wetlands, especially swamps and mangrove forests. However, they can also be found in areas with low, dense vegetation near the edges of water bodies at the foot of mountains and in mixed deciduous forests.",
5.0,127,"Chiều dài đầu và thân: 35-41 cm.
Chiều dài đuôi: 25-29cm.
Hình thái: Loài này có kích cỡ cơ thể lớn hơn các loài triết một chút, với bộ lông màu xám, nâu tối pha lẫn màu nâu gỉ sắt. Mỗi sợi lông thường có những đoạn màu nâu sáng và tối nằm xen kẽ nhau. Đầu, chân và đuôi của có cùng màu với thân. Tai của chúng tương đối lớn nhưng nằm theo hướng ngang ra hai bên đầu. Chiều dài của đuôi bằng hai phần ba chiều dài của đầu và thân. Hai bên cổ không có các vệt trắng như ở cầy móc cua.
Tập tính: Đây là loài hoạt động vào ban ngày, thức ăn của chúng rất đa dạng, bao gồm các loài động vật có xương sống cỡ nhỏ và những loài động vật không xương sống. Thường sống đơn độc một mình.
Sinh cảnh: Có thể tìm thấy ở các vùng rừng thứ sinh và vùng đồng cỏ gần rừng trên phạm vi khắp cả nước. Là loài động vật rất phổ biến trên phạm vi phân bố.","Head and body length: 35-41 cm.
Tail length: 25-29 cm.
Morphology: This species has a slightly larger body size than weasel species, with gray fur, dark brown mixed with rusty brown color. Each hair strand usually has light and dark brown segments alternating with each other. The head, legs and tail have the same color as the body. Their ears are relatively large but lie horizontally on both sides of the head. The tail length equals two-thirds of the head and body length. Both sides of the neck do not have white stripes like in the crab-eating mongoose.
Behavior: This is a diurnal species, their food is very diverse, including small vertebrates and invertebrates. Usually live solitary alone.
Habitat: Can be found in secondary forests and grassland areas near forests throughout the country. It is a very common animal species within its distribution range.",
6.0,128,"Chiều dài đầu và thân: 44-48 cm.
Chiều dài đuôi: 26-31 cm.
Hình thái: Loài cầy lỏn có kích cỡ cơ thể tương đối lớn, bộ lông có màu nâu tối hoặc xám. Mỗi sợi lông có phần đen và phần trắng hoặc phần nâu và phần trắng nằm xen kẽ nhau. Cằm có màu trắng, phía trên họng màu đen, ngực màu nâu tối. Loài này có một đặc điểm nổi bật đó là vệt lông màu trắng chạy dọc hai bên miệng xuống phía dưới tai, đặc điểm này cùng với cái mũi màu hồng làm cho có vẻ bề ngoài rất khác biệt với các loài khác.
Tập tính: Đây là loài hoạt động chủ yếu vào ban ngày, tìm thấy ở các khu vực có nước để có thể săn được các loài cá, ếch nhái và cua làm thức ăn.
Sinh cảnh: Tìm thấy ở các khu rừng thường xanh, rừng hỗn giao rụng lá và rừng khộp gần những nơi có nước trên phạm vi khắp cả nước.","Head and body length: 44-48 cm.
Tail length: 26-31 cm.
Morphology: This mongoose species has a relatively large body size, with dark brown or grey fur. Each hair strand has alternating black and white or brown and white sections. The chin is white, the upper throat is black, and the chest is dark brown. A distinctive feature of this species is the white stripe running along both sides of the mouth down to below the ears; this feature, along with a pink nose, gives it a very distinct appearance compared to other species.
Behavior: This is a primarily diurnal species, found in areas with water where they can hunt fish, frogs, and crabs for food.
Habitat: Found in evergreen forests, mixed deciduous forests, and dipterocarp forests near water sources throughout the country.",
7.0,129,"Chiều dài đầu và thân: 36-46 cm.
Chiều dài đuôi: 24-35cm.
Hình thái: Loài này có cơ thể bé hơn và mập hơn rất nhiều so với các loài rái cá khác. Nó còn được phân biệt với các loài khác nhờ vào đặc điểm màng bơi không phát triển ở cả bàn chân và bàn tay; móng vuốt như những chiếc gai nhỏ không dài quá đầu ngón. Bộ lông có màu nâu hơi xám với nửa phía bụng nhợt hơn. Cổ họng có màu vàng sẫm. Ngoài tự nhiên rất khó phân biệt loài này với các loài rái cá khác.
Tập tính: Hoạt động vào ban ngày, sống theo bầy đàn từ 4-6 cá thể, thậm chí lên đến 12 cá thể. Thức ăn bao gồm phần lớn là các loài nhuyễn thể và giáp xác.
Tiếng kêu: Có nhiều kiểu âm thanh, thường là tiếng ăng ẳng và tiếng rên. Tiếng kêu gọi nhau là ‘qui-úc’.
Sinh cảnh: Thường gặp ở các con sông, lạch, cửa sông và rừng ngập mặn trên phạm vi cả nước, tuy nhiên ở các vùng núi có số lượng nhiều hơn.","Head and body length: 36-46 cm.
Tail length: 24-35 cm.
Morphology: This species has a much smaller and chubby body compared to other otter species. It is also distinguished by the lack of developed webbing on both feet and hands; the claws are like small thorns that do not extend beyond the fingertips. The fur is greyish-brown with a paler underside. The throat is dark yellow. In the wild, it is difficult to distinguish this species from other otters.
Behavior: Diurnal, living in groups of 4-6 individuals, sometimes up to 12. Diet consists largely of mollusks and crustaceans.
Call: Various sounds, often yelps and whimpers. The contact call is 'qui-úc'.
Habitat: Commonly found in rivers, creeks, estuaries, and mangrove forests nationwide, but more abundant in mountainous areas.",
8.0,130,"Chiều dài đầu và thân: 52-75 cm.
Chiều dài đuôi: 35-45cm.
Hình thái: Là loài rái cá cỡ lớn với bộ lông mượt mà và óng ả. Đuôi bẹt hơn rất nhiều so với các loài rái cá khác, còn các loài khác chỉ bẹt ở một chừng mực nhất định. Mũi trần không có lông, nửa thân phía lưng tối hơn một chút so với màu vàng sẫm ở phần bụng. Họng và hai bên cổ có màu kem. Đầu tròn hơn so với đầu của loài rái cá thường và rái cá lông mũi.
Tập tính: Thường được tìm thấy ở những khu vực có nước. Hoạt động theo cặp hoặc nhóm gia đình.
Sinh cảnh: Sinh sống ở các con sông, suối và ao hồ cũng như các kênh đào và đập nước ở các vùng trũng trên phạm vi toàn quốc. Cũng có thể tìm thấy ở những khu rừng ngập mặn và những vùng có môi trường trước đây là biển.","Head and body length: 52-75 cm.
Tail length: 35-45 cm.
Morphology: A large otter species with smooth and glossy fur. The tail is much flatter compared to other otter species (others are only flattened to a certain extent). The nose is bare with no hair; the dorsal half is slightly darker than the dark yellow ventral side. Throat and sides of the neck are cream-colored. The head is rounder than that of the Eurasian Otter and the Hairy-nosed Otter.
Behavior: Often found in areas with water. Active in pairs or family groups.
Habitat: Lives in rivers, streams, ponds, and lakes, as well as canals and reservoirs in low-lying areas nationwide. Can also be found in mangrove forests and areas that were formerly marine environments.",
9.0,131,"Chiều dài đầu và thân: 57-62 cm.
Chiều dài đuôi: 45-50cm.
Hình thái: Phân biệt với các loài khác nhờ vào chiếc mũi được lông che phủ kín chỉ còn chừa lại hai lỗ mũi; còn ở các loài khác thì mũi của chúng trần. Ngoài ra, bộ lông của chúng có màu nâu sô-cô-la tối cũng khác với màu lông của các loài khác. Vì vậy, rất dễ phân biệt loài này với các loài khác ngoài thực địa. Bụng của có màu nhợt hơn một chút so với màu lông phía lưng. Một điểm đặc trưng nữa là môi trên, cằm và họng của chúng có màu trắng. Đầu của chúng cũng bẹt hơn đầu của các loài rái cá lớn khác.
Tập tính: Chúng được tìm thấy ở các vùng đất ngập nước thuộc vùng đất thấp, tuy nhiên tập tính của chúng vẫn chưa được nghiên cứu đầy đủ. Thức ăn của chúng gồm phần lớn là cá.
Sinh cảnh: Sinh sống ở các vùng sình lầy than bùn, bao gồm các khu rừng tràm ở các tỉnh phía Nam Việt Nam.","Head and body length: 57-62 cm.
Tail length: 45-50 cm.
Morphology: Distinguished from other species by its nose, which is fully covered in hair, leaving only the two nostrils exposed; in other species, the nose is bare. Additionally, their dark chocolate-brown fur differs from that of other species. Therefore, it is easy to distinguish this species in the field. The belly is slightly paler than the back. Another characteristic feature is that the upper lip, chin, and throat are white. Their head is also flatter than that of other large otter species.
Behavior: Found in lowland wetlands, but their behavior has not been fully studied. Their diet consists mostly of fish.
Habitat: Lives in peat swamp areas, including Melaleuca forests in the southern provinces of Vietnam.",
10.0,132,"Chiều dài đầu và thân: 54-72 cm.
Chiều dài đuôi: 37-48cm.
Hình thái: Loài rái cá có kích cỡ cơ thể lớn với bộ lông rất dày, được tạo bởi các sợi lông ngắn cùng với các sợi lông dài có đầu chóp màu trắng nhạt làm cho bộ lông có màu xám hoa râm. Lông ở phần bụng có màu nhợt hơn rất nhiều so với phần lưng, tuy nhiên, ở phân loài L. lutra chinensis ở phía Bắc Việt Nam thì mặt dưới của cơ thể lại có màu nâu xám. Cổ họng có màu trắng nhờ. Mũi trần. Mõm của chúng dài hơn nhiều so với mõm của loài rái cá lông mượt. Đuôi của chúng rất bẹt mà không dẹt như ở rái cá lông mượt. Tay và chân của chúng đều có màng bơi phát triển.
Tập tính: Thường thấy chúng xuất hiện ở các vùng cận kề với các vùng đất ngập nước, nơi chúng có thể bắt cá để ăn, ngoài ra thức ăn của chúng còn bao gồm các loài cua, cũng như các loài giáp xác khác và cả ếch nhái. Thường thấy ở khu vực cách xa các vực nước khi di chuyển giữa các con suối. Chúng làm tổ (đào hang) ở rìa các con sông. Thường dùng phân để đánh dấu lãnh địa riêng. Sinh sản không theo mùa cố định. Thời gian mang thai từ 60-70 ngày, mỗi lứa đẻ từ 1 đến 3 con nhỏ.
Sinh cảnh: Thường sinh sống ở các khu vực hồ, sông và suối thuộc các vùng rừng núi và các vùng đất thấp trên phạm vi cả nước, trước đây còn tìm thấy chúng cả ở những khu vực gần bờ biển.","Head and body length: 54-72 cm.
Tail length: 37-48 cm.
Morphology: A large otter species with very thick fur, composed of short hairs and long guard hairs with pale white tips, giving the coat a grizzled grey appearance. The ventral fur is much paler than the dorsal fur; however, in the subspecies L. lutra chinensis in Northern Vietnam, the underside is grey-brown. The throat is whitish. Nose is bare. Their muzzle is much longer than that of the Smooth-coated Otter. Their tail is flattened but not as flat as that of the Smooth-coated Otter. Hands and feet have well-developed webbing.
Behavior: Often seen in areas adjacent to wetlands where they can catch fish; their diet also includes crabs, other crustaceans, and frogs. Often seen in areas far from water bodies when moving between streams. They build nests (burrows) on riverbanks. They often use spraint (feces) to mark their territory. Breeding is not seasonally fixed. Gestation period is 60-70 days, with a litter size of 1 to 3 pups.
Habitat: Usually lives in lakes, rivers, and streams in mountainous and lowland areas throughout the country; formerly also found in near-coastal areas.",
